Age,Females
0,8964079
1,7015745
2,11165681
3,11698140
4,11173735
5,11708332
6,11363975
7,9689320
8,13374334
9,7739607
10,13716555
11,6257283
12,11634644
13,7007669
14,8128117
15,8398922
16,8042023
17,4834179
18,11110077
19,4418654
20,14050460
21,3713560
22,9262093
23,4638440
24,5293928
25,15298720
26,5045638
27,3501370
28,9105168
29,1741775
30,16993819
31,1204850
32,6172513
33,2093393
34,2022144
35,14212982
36,2850513
37,1644490
38,5110808
39,1021777
40,13480828
41,725120
42,3304088
43,1217373
44,986685
45,11044232
46,1315426
47,1056812
48,3175860
49,586907
50,10639599
51,476033
52,1746469
53,663421
54,683180
55,7208115
56,913818
57,494973
58,1625626
59,288223
60,8856350
61,292268
62,1017532
63,386764
64,288825
65,4968258
66,323157
67,256169
68,672140
69,145145
70,4273011
71,119525
72,383259
73,130720
74,111616
75,1619206
76,133482
77,66008
78,184932
79,39661
80,1630916
81,73758
82,117366
83,38806
84,33080
85,431066
86,34422
87,24272
88,39050
89,16118
90,334919
91,28002
92,25858
93,8170
94,5808
95,77581
96,10854
97,4996
98,18651
99,16921
100,79273
